trip_id,full_date,day_name,month_name,year,hour_of_day,time_period,pickup_area,pickup_location_type,dropoff_area,dropoff_location_type,trip_category,distance_miles,duration_minutes,fare,tip,total_earnings,estimated_cost,net_profit,earnings_per_mile,earnings_per_hour,profit_per_hour
41336,2026-06-23,Tuesday,June     ,2026,4,Premium,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,1.18,2.00,1.45,0.00,1.45,0.33,1.12,1.23,43.50,33.59
26810,2026-06-23,Tuesday,June     ,2026,8,Airport,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,21.75,48.00,32.50,0.00,32.50,6.09,26.41,1.49,40.63,33.01
17762,2026-06-23,Tuesday,June     ,2026,15,Business,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,15.33,32.00,20.56,0.00,20.56,4.29,16.27,1.34,38.55,30.50
49894,2026-06-23,Tuesday,June     ,2026,8,Airport,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,28.05,104.00,73.01,0.00,73.01,7.85,65.16,2.60,42.12,37.59
6217,2026-06-23,Tuesday,June     ,2026,4,Premium,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,1.64,8.00,3.36,0.00,3.36,0.46,2.90,2.05,25.20,21.76
19094,2026-06-23,Tuesday,June     ,2026,9,Standard,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,22.16,86.00,57.06,0.00,57.06,6.20,50.86,2.57,39.81,35.48
3674,2026-06-23,Tuesday,June     ,2026,14,Standard,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,10.30,35.00,18.48,0.00,18.48,2.88,15.60,1.79,31.68,26.74
47290,2026-06-23,Tuesday,June     ,2026,12,Business,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,6.01,19.00,8.97,0.00,8.97,1.68,7.29,1.49,28.33,23.01
6601,2026-06-23,Tuesday,June     ,2026,6,Business,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,31.52,92.00,86.18,0.00,86.18,8.83,77.35,2.73,56.20,50.45
36560,2026-06-23,Tuesday,June     ,2026,1,Premium,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,16.89,43.00,22.83,0.00,22.83,4.73,18.10,1.35,31.86,25.26
28395,2026-06-23,Tuesday,June     ,2026,10,Standard,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,3.78,17.00,6.96,0.00,6.96,1.06,5.90,1.84,24.56,20.83
