trip_id,pickup_datetime,pickup_location,trip_type,distance_miles,duration_minutes,fare_amount
1,2026-05-12 06:55:53,Manchester Airport,Business,14.61,38.0,40.38
2,2025-12-05 05:34:36,Salford Quays,Standard,11.63,58.0,29.3
3,2025-11-17 11:18:39,Piccadilly,Standard,3.78,15.0,8.77
4,2026-04-16 00:40:27,Salford Quays,Business,7.71,23.0,19.12
5,2025-10-16 03:16:03,Old Trafford,Business,32.73,113.0,84.76
6,2025-08-15 18:23:45,Trafford Centre,Standard,19.72,67.0,38.67
7,2025-06-23 21:17:44,Deansgate,Business,25.72,62.0,46.76
8,2026-01-14 04:47:05,Deansgate,Premium,28.51,105.0,54.11
9,2026-02-14 12:55:59,MediaCityUK,Airport,25.06,101.0,64.49
10,2025-06-26 16:25:52,Stockport,Premium,21.54,53.0,37.83
11,2025-11-07 08:49:17,MediaCityUK,Business,3.0,14.0,3.74
12,2025-07-29 16:11:33,MediaCityUK,Standard,5.64,18.0,10.62
13,2026-06-12 16:59:15,Salford Quays,Premium,17.69,46.0,45.82
14,2025-12-02 05:20:43,Deansgate,Business,17.93,60.0,37.08
15,2025-12-01 16:37:40,Trafford Centre,Business,29.19,101.0,73.62
16,2026-05-10 15:36:08,Salford Quays,Premium,13.67,29.0,33.3
17,2025-09-21 20:04:45,Trafford Centre,Business,8.47,34.0,17.1
18,2026-04-08 01:35:47,Piccadilly,Premium,31.44,110.0,56.49
19,2025-11-26 08:48:27,Stockport,Standard,34.68,108.0,49.16
20,2025-09-23 20:19:31,Salford Quays,Airport,4.89,11.0,12.99
21,2026-05-08 13:05:07,Stockport,Business,24.59,119.0,55.85
22,2026-05-09 06:57:12,Salford Quays,Business,17.45,54.0,46.11
23,2025-06-28 21:36:10,Salford Quays,Premium,22.51,58.0,49.66
24,2025-09-25 14:33:44,MediaCityUK,Business,29.22,105.0,51.19
25,2025-10-04 01:50:12,Stockport,Airport,1.3,4.0,3.6
26,2026-03-25 10:15:33,MediaCityUK,Business,5.78,22.0,9.04
27,2025-06-30 20:03:55,Salford Quays,Business,23.76,71.0,30.5
28,2026-04-21 21:34:49,Old Trafford,Airport,22.37,111.0,54.75
29,2025-12-15 08:59:54,Old Trafford,Premium,8.16,39.0,14.86
30,2025-09-13 20:37:49,Trafford Centre,Premium,4.4,19.0,11.49
31,2026-02-14 03:52:15,MediaCityUK,Business,25.5,110.0,54.97
32,2025-06-25 08:21:01,Manchester Airport,Standard,21.21,46.0,31.39
33,2026-05-03 23:06:10,Deansgate,Standard,3.39,14.0,8.12
34,2025-07-09 06:54:19,Old Trafford,Premium,6.58,21.0,11.85
35,2026-02-12 08:00:23,Salford Quays,Premium,6.09,25.0,12.35
36,2025-08-02 11:33:30,Stockport,Standard,29.99,120.0,52.02
37,2025-09-20 21:32:31,Old Trafford,Business,2.5,8.0,5.54
38,2025-08-29 22:47:34,Trafford Centre,Premium,7.59,21.0,19.35
39,2025-08-04 05:46:36,Deansgate,Standard,21.54,49.0,27.01
40,2025-07-18 05:23:56,Piccadilly,Business,8.19,35.0,16.96
41,2026-05-11 03:29:58,Salford Quays,Standard,26.89,95.0,59.43
42,2026-05-17 08:06:22,Piccadilly,Standard,12.87,43.0,35.54
43,2026-05-12 07:21:58,Salford Quays,Airport,1.25,3.0,1.92
44,2026-05-19 15:06:13,Deansgate,Airport,4.98,17.0,9.49
45,2025-12-10 01:13:35,Deansgate,Airport,13.94,49.0,33.21
46,2025-11-19 16:47:48,Stockport,Standard,31.53,149.0,77.56
47,2026-02-16 18:44:40,Deansgate,Business,22.71,51.0,57.2
48,2026-03-28 20:40:30,Old Trafford,Business,13.21,40.0,28.38
49,2026-02-07 06:45:01,Stockport,Premium,32.58,152.0,72.53
50,2026-05-07 10:53:48,Deansgate,Airport,33.23,109.0,60.46
51,2026-04-01 12:19:02,Trafford Centre,Premium,13.25,30.0,34.19
52,2025-12-17 15:19:39,Salford Quays,Airport,3.58,9.0,8.65
53,2025-12-31 06:10:40,Stockport,Premium,20.49,72.0,33.49
54,2026-01-05 21:35:06,Trafford Centre,Premium,32.17,151.0,89.65
55,2026-04-12 13:02:17,Deansgate,Business,23.64,75.0,40.05
56,2025-09-29 01:41:09,MediaCityUK,Premium,10.98,36.0,17.01
57,2026-04-24 01:14:41,Salford Quays,Premium,3.76,18.0,7.48
58,2025-07-06 16:20:05,MediaCityUK,Premium,20.34,83.0,26.62
59,2025-07-17 03:17:48,MediaCityUK,Standard,21.29,106.0,52.56
60,2026-05-03 02:36:06,Manchester Airport,Airport,18.47,42.0,22.8
61,2026-02-23 02:37:27,Salford Quays,Airport,16.21,79.0,33.17
62,2026-06-13 18:47:11,Manchester Airport,Standard,26.96,116.0,47.9
63,2026-06-17 22:19:07,MediaCityUK,Premium,5.64,22.0,12.06
64,2025-12-30 00:57:19,Salford Quays,Business,4.79,21.0,6.17
65,2026-04-29 21:34:26,Piccadilly,Airport,10.01,37.0,14.51
66,2025-08-09 04:58:22,MediaCityUK,Standard,32.08,74.0,79.59
67,2025-09-06 22:10:58,Deansgate,Business,31.71,148.0,72.87
68,2025-11-11 23:31:36,Old Trafford,Premium,22.98,102.0,31.77
69,2025-07-09 05:19:46,MediaCityUK,Premium,17.57,47.0,38.01
70,2025-11-26 23:39:16,Manchester Airport,Standard,2.94,11.0,6.79
71,2025-07-17 11:55:23,Salford Quays,Airport,4.49,21.0,10.38
72,2026-05-15 06:09:11,Old Trafford,Airport,5.54,27.0,11.66
73,2025-09-18 02:45:56,MediaCityUK,Business,9.55,42.0,12.28
74,2025-10-07 16:15:08,Stockport,Standard,26.6,114.0,38.77
75,2026-03-24 15:00:29,Stockport,Premium,14.52,64.0,35.83
76,2026-01-02 17:31:21,Piccadilly,Standard,32.56,113.0,62.61
77,2026-06-06 08:39:26,Trafford Centre,Premium,15.05,33.0,27.11
78,2026-06-06 04:32:17,Deansgate,Standard,10.09,28.0,20.79
79,2025-10-27 09:46:22,Stockport,Airport,13.91,64.0,34.77
80,2026-06-12 14:57:46,Old Trafford,Standard,6.64,29.0,9.37
81,2026-04-11 17:44:37,MediaCityUK,Premium,26.83,119.0,41.13
82,2025-12-19 17:37:22,Deansgate,Airport,8.33,40.0,14.11
83,2025-10-29 23:56:46,Stockport,Business,32.36,137.0,61.55
84,2026-05-28 08:44:50,Salford Quays,Premium,29.11,66.0,69.83
85,2025-12-07 11:52:51,Piccadilly,Business,16.74,42.0,26.27
86,2025-11-18 01:53:18,MediaCityUK,Standard,13.56,31.0,16.49
87,2025-11-29 06:04:21,Trafford Centre,Premium,25.95,82.0,71.85
88,2025-10-12 13:36:08,Old Trafford,Premium,3.78,11.0,6.82
89,2025-11-16 12:54:24,Trafford Centre,Standard,23.3,85.0,28.8
90,2026-06-11 11:34:34,Old Trafford,Standard,29.79,145.0,75.24
91,2026-05-19 16:51:53,Stockport,Business,29.04,96.0,39.42
92,2026-04-08 13:42:49,Deansgate,Airport,10.18,46.0,27.28
93,2025-07-21 01:22:32,Stockport,Business,21.11,81.0,55.13
94,2026-05-18 16:30:09,Deansgate,Premium,1.56,5.0,3.15
95,2025-08-08 02:42:48,Deansgate,Airport,33.76,82.0,49.0
96,2026-04-26 04:07:57,MediaCityUK,Business,12.48,52.0,31.86
97,2026-04-05 15:51:54,MediaCityUK,Standard,20.58,90.0,26.23
98,2025-10-11 14:25:34,Trafford Centre,Standard,13.2,51.0,24.77
99,2026-03-19 18:41:38,Trafford Centre,Premium,9.2,20.0,20.43
100,2026-01-04 06:04:01,MediaCityUK,Business,1.07,4.0,1.6
101,2026-01-12 06:15:19,Trafford Centre,Airport,23.89,86.0,40.55
102,2026-04-29 13:52:36,Piccadilly,Standard,9.14,35.0,21.02
103,2025-06-26 00:50:48,Deansgate,Premium,4.8,16.0,10.52
104,2026-01-01 23:51:59,Piccadilly,Business,23.52,110.0,47.22
105,2026-06-06 02:11:16,Stockport,Standard,5.37,22.0,6.78
106,2026-05-22 15:14:58,MediaCityUK,Airport,6.44,19.0,11.96
107,2025-10-26 06:51:14,Stockport,Business,24.18,50.0,47.13
108,2025-08-22 09:40:32,MediaCityUK,Airport,29.53,138.0,70.56
109,2026-03-21 06:02:26,Deansgate,Airport,14.98,49.0,31.04
110,2026-05-08 23:41:05,MediaCityUK,Standard,24.29,114.0,39.34
111,2025-12-11 06:27:47,Piccadilly,Standard,11.63,55.0,19.85
112,2025-08-07 10:05:58,Stockport,Airport,29.44,142.0,67.11
113,2026-05-11 07:50:08,Old Trafford,Standard,34.1,113.0,45.91
114,2025-12-12 05:01:59,Trafford Centre,Airport,7.81,36.0,12.62
115,2025-10-24 10:28:21,Stockport,Premium,26.23,96.0,32.7
116,2025-09-02 02:34:21,Trafford Centre,Airport,20.17,55.0,49.72
117,2025-07-06 12:55:38,Deansgate,Premium,7.12,34.0,9.24
118,2026-04-06 12:25:54,Old Trafford,Airport,5.9,16.0,13.72
119,2025-10-19 14:44:59,MediaCityUK,Standard,12.27,41.0,29.77
120,2025-12-03 13:07:09,Manchester Airport,Premium,24.3,66.0,54.13
121,2026-06-04 08:47:20,Manchester Airport,Premium,24.06,82.0,65.39
122,2025-07-11 17:10:32,Piccadilly,Business,29.55,96.0,45.02
123,2026-04-01 07:51:50,Manchester Airport,Standard,27.44,59.0,51.75
124,2025-07-24 16:54:44,Trafford Centre,Airport,8.07,31.0,20.47
125,2026-05-18 06:47:44,Trafford Centre,Airport,32.09,158.0,41.24
126,2025-10-30 21:38:41,Piccadilly,Standard,19.93,48.0,51.93
127,2026-05-06 08:49:44,Trafford Centre,Business,29.52,69.0,38.95
128,2025-12-27 15:34:05,Deansgate,Standard,2.63,11.0,6.66
129,2026-06-15 03:55:58,Salford Quays,Standard,8.39,17.0,18.12
130,2025-11-01 00:57:17,Stockport,Airport,20.66,61.0,31.05
131,2026-02-10 18:48:05,Salford Quays,Airport,11.91,54.0,15.82
132,2026-02-01 20:07:53,Stockport,Standard,16.74,42.0,28.24
133,2025-08-17 03:35:54,Stockport,Business,14.26,34.0,39.29
134,2026-05-23 18:09:11,Deansgate,Standard,11.63,31.0,27.3
135,2025-11-30 21:54:55,Manchester Airport,Business,16.25,60.0,43.89
136,2025-12-23 21:49:02,Piccadilly,Airport,9.01,40.0,24.9
137,2025-09-18 10:53:45,Piccadilly,Standard,18.5,51.0,34.51
138,2026-02-22 11:40:12,MediaCityUK,Standard,12.74,36.0,18.42
139,2026-06-01 13:54:17,Old Trafford,Airport,9.45,32.0,13.71
140,2025-10-22 19:49:28,MediaCityUK,Standard,2.16,10.0,4.18
141,2026-01-27 05:12:05,Old Trafford,Business,8.38,17.0,14.41
142,2025-07-12 13:08:24,Old Trafford,Premium,2.04,5.0,2.64
143,2025-12-15 08:29:13,Stockport,Business,27.76,103.0,66.65
144,2025-10-23 20:59:13,Salford Quays,Airport,3.05,15.0,5.65
145,2025-10-17 20:11:10,Stockport,Business,22.67,46.0,42.16
146,2026-01-10 13:38:49,Stockport,Airport,10.53,32.0,26.61
147,2026-05-15 08:35:17,Piccadilly,Airport,27.05,90.0,52.3
148,2026-04-01 11:12:49,Old Trafford,Premium,33.31,122.0,43.39
149,2025-10-29 18:44:03,Piccadilly,Standard,22.97,73.0,39.52
150,2025-09-22 13:19:31,Trafford Centre,Premium,10.61,42.0,14.88
151,2026-03-26 09:25:52,Stockport,Premium,26.01,67.0,60.53
152,2026-06-02 13:37:53,Salford Quays,Premium,29.17,124.0,79.0
153,2026-02-13 00:02:00,Salford Quays,Business,9.76,45.0,19.65
154,2025-10-02 15:29:45,Manchester Airport,Business,22.46,100.0,32.55
155,2026-04-23 22:16:28,Salford Quays,Standard,29.61,120.0,69.72
156,2026-01-22 20:03:47,Stockport,Standard,27.03,60.0,71.67
157,2026-02-08 10:07:57,Piccadilly,Business,6.7,14.0,13.54
158,2026-04-25 10:36:01,Deansgate,Premium,11.25,33.0,14.26
159,2025-12-01 17:42:35,Piccadilly,Standard,18.93,47.0,50.59
160,2025-11-27 15:26:15,Manchester Airport,Airport,5.16,18.0,7.5
161,2026-01-18 07:03:04,Old Trafford,Standard,2.68,7.0,7.43
162,2025-12-30 02:14:54,Stockport,Airport,25.18,63.0,45.39
163,2025-11-28 13:01:59,Old Trafford,Standard,12.22,51.0,16.02
164,2025-12-11 20:05:53,Manchester Airport,Airport,25.72,76.0,50.1
165,2025-08-20 04:37:04,Stockport,Premium,12.12,27.0,22.32
166,2025-12-27 16:10:17,Deansgate,Standard,15.43,59.0,23.01
167,2026-05-29 19:23:29,Salford Quays,Airport,14.91,54.0,26.22
168,2026-04-17 23:44:40,MediaCityUK,Business,25.04,118.0,66.52
169,2026-04-23 18:58:12,MediaCityUK,Business,12.43,26.0,24.01
170,2025-12-10 21:50:12,Piccadilly,Standard,21.16,96.0,44.68
171,2026-02-24 18:51:14,Stockport,Premium,6.45,22.0,16.65
172,2025-07-12 13:44:31,Old Trafford,Standard,6.52,32.0,17.38
173,2025-10-15 08:04:43,Piccadilly,Standard,8.21,25.0,16.82
174,2025-06-27 14:47:20,Piccadilly,Airport,10.57,47.0,23.29
175,2025-12-16 14:14:01,Salford Quays,Airport,10.66,50.0,16.55
176,2025-10-04 01:58:31,Manchester Airport,Standard,30.77,87.0,48.22
177,2026-04-24 10:09:43,Deansgate,Standard,16.22,42.0,25.83
178,2025-11-06 13:26:37,Deansgate,Premium,15.44,64.0,40.8
179,2025-09-08 15:29:09,Trafford Centre,Premium,7.5,35.0,14.01
180,2025-11-05 03:27:01,Manchester Airport,Business,25.69,106.0,53.73
181,2026-01-06 15:53:54,Old Trafford,Business,34.49,142.0,45.49
182,2026-05-26 13:19:22,Salford Quays,Standard,28.39,113.0,73.67
183,2026-05-09 21:56:27,Piccadilly,Business,15.33,38.0,39.43
184,2025-08-15 07:44:23,Old Trafford,Standard,34.54,145.0,83.81
185,2025-11-22 05:51:22,Manchester Airport,Business,9.11,38.0,11.29
186,2026-06-20 09:14:34,Piccadilly,Airport,6.49,23.0,10.91
187,2026-01-14 18:32:00,MediaCityUK,Standard,31.24,152.0,45.41
188,2026-05-05 13:23:53,Stockport,Airport,6.66,25.0,8.48
